id,name,major_id
0,서다수,13
1,임준형,5
2,강유형,4
3,백정현,14
4,조수은,6
5,이승우,15
6,정수재,13
7,은정호,10
8,김지현,15
9,윤민욱,14
10,이희윤,8
11,홍재준,9
12,변연연,11
13,조성찬,13
14,김세진,2
15,이홍운,11
16,정현현,15
17,정연피,10
18,송연주,8
19,조주숙,4
20,김민연,13
21,박민규,9
22,서지진,11
23,유용요,13
24,김저연,10
25,이정현,2
26,정은주,4
27,송용현,10
28,양지은,6
29,박성영,6
30,이초서,6
31,김상현,1
32,김아지,15
33,김우현,6
34,곽지연,6
35,박세전,6
36,강시경,3
37,백유찬,15
38,윤지윤,13
39,이운현,13
40,김연진,1
41,이성현,6
42,조서경,15
43,김종호,8
44,김예솔,15
45,이전석,11
46,이예희,15
47,임민현,14
48,박세경,10
49,서성후,12
50,손보지,13
51,이영호,12
52,이다현,13
53,김항주,10
54,홍지미,11
55,함승현,6
56,박주빈,3
57,김전후,7
58,윤시연,5
59,최승운,13
60,윤은수,8
61,이민현,7
62,차연은,2
63,김재해,15
64,박유연,10
65,김창진,12
66,전유혜,8
67,권민구,12
68,배다원,6
69,윤겅빈,5
70,장보연,13
71,주효하,10
72,전수윤,12
73,김준현,14
74,서유은,14
75,문준균,13
76,이수연,8
77,서재연,12
78,이무우,6
79,김연후,15
80,이승주,5
81,박응한,12
82,김유진,15
83,이병해,12
84,정희윤,15
85,민동천,11
86,유저진,5
87,한전홍,12
88,윤지진,4
89,김주운,11
90,김민연,9
91,박조세,5
92,김다연,12
93,조전빈,5
94,고예연,3
95,한재유,11
96,이다지,7
97,박순현,15
98,정하경,8
99,김상만,8
100,김가지,12
101,이연석,9
102,현다은,15
103,김재석,15
104,이채린,10
105,신승현,15
106,이이서,4
107,임연석,12
108,김초현,13
109,김산양,15
110,민서주,10
111,이호균,11
112,남민민,5
113,김면엉,8
114,강윤연,7
115,김긍재,7
116,이시진,14
117,장찬현,7
118,이지민,6
119,이명성,6
120,김지연,5
121,이현현,3
122,임최라,8
123,이진민,7
124,정주린,3
125,이준석,7
126,김가현,14
127,심인호,2
128,윤윤현,12
129,김진우,9
130,채채민,9
131,강순현,9
132,류태빈,6
133,배운준,10
134,서세경,9
135,백희석,15
136,박다슨,8
137,심지훈,13
138,함미지,5
139,정준호,11
140,김수연,14
141,정민민,11
142,배성우,11
143,윤환상,15
144,강미인,4
145,허응상,13
146,박초채,2
147,문주희,5
148,차저연,11
149,표재번,8
150,안서연,13
151,윤둥진,13
152,정지정,3
153,박찬재,14
154,정가수,2
155,노성현,10
156,전진연,1
157,오태무,9
158,유예리,7
159,김정완,6
160,지소진,7
161,황동주,5
162,이수연,11
163,이재진,13
164,이은경,13
165,김동준,14
166,장다주,8
167,윤찬현,5
168,홍가지,15
169,이진호,8
170,진의은,14
171,최균윤,10
172,최예원,15
173,이형민,13
174,유가은,3
175,김주인,13
176,김소진,13
177,김재민,14
178,이서경,15
179,유대주,15
180,강연현,8
181,윤상원,11
182,김소빈,11
183,정상희,7
184,김서원,12
185,김연준,12
186,김시리,15
187,장겅연,10
188,이주인,3
189,차연운,6
190,이세은,6
191,강홍문,12
192,윤현연,7
193,이군우,12
194,나예서,9
195,노희규,10
196,유지리,8
197,조민훈,15
198,모가민,5
199,권경근,8
200,안유연,15
201,양상운,11
202,변유아,7
203,허세훈,4
204,정서인,13
205,송구석,11
206,김소민,8
207,조완현,13
208,유소희,15
209,남민재,14
210,권하미,12
211,김영연,8
212,한은진,15
213,이현운,14
214,김규지,9
215,박면훈,6
216,신가영,13
217,명승근,13
218,김주희,14
219,정인진,13
220,최유저,2
221,김재현,11
222,이벼서,8
223,신재준,9
224,안주진,15
225,박동형,8
226,이지나,15
227,박현우,1
228,박유경,10
229,김수호,2
230,최지은,9
231,김명태,15
232,김채진,11
233,황재준,15
234,홍은경,2
235,오응준,14
236,박세원,9
237,곽홍관,6
238,서응아,12
239,양민숭,5
240,김유연,6
241,김현표,8
242,유다수,12
243,이상연,6
244,이민희,12
245,장승준,12
246,주저빈,5
247,문희민,5
248,박희경,5
249,이준원,9
250,김서현,14
251,이남민,14
252,이혜원,6
253,김순재,6
254,김다윤,15
255,김세철,7
256,최예선,3
257,안성현,15
258,안해주,3
259,이상훈,8
260,안서희,12
261,이재서,10
262,송지이,9
263,박상민,9
264,서은형,13
265,조강성,13
266,최혜민,3
267,최동주,6
268,이지연,13
269,최병준,12
270,유예연,13
271,이상순,13
272,손채현,4
273,이민호,12
274,이가진,11
275,박태진,15
276,박지은,9
277,국해진,4
278,강지윤,13
279,김지운,10
280,김연진,12
281,김도유,1
282,허가현,11
283,이동현,15
284,정저서,15
285,김성민,12
286,김수영,4
287,김시희,14
288,황유재,6
289,이성천,2
290,강나희,13
291,박태환,13
292,심민라,12
293,이찬헌,13
294,김은빈,1
295,남진성,14
296,장다빈,10
297,이준원,7
298,박서은,12
299,유태운,11
