id,name,age,admission,major_id
0,김새민,21,2024,13
1,김주훈,25,2020,7
2,허사서,23,2022,13
3,조성재,24,2021,14
4,양재비,25,2020,15
5,구원주,24,2021,14
6,박주아,24,2021,8
7,김호운,23,2022,15
8,윤서현,24,2021,9
9,장진군,25,2020,11
10,이도서,22,2023,15
11,박권현,22,2023,12
12,전지효,25,2020,12
13,조진진,22,2023,15
14,임유주,23,2022,14
15,이민성,21,2024,10
16,이지연,26,2019,12
17,신문주,22,2023,10
18,김연린,23,2022,8
19,윤횽준,24,2021,6
20,김해민,26,2019,9
21,정경민,25,2020,5
22,장지진,24,2021,7
23,양동운,25,2020,11
24,이은진,25,2020,5
25,장현우,21,2024,9
26,윤연영,22,2023,10
27,김희형,22,2023,15
28,김민솔,23,2022,7
29,김동우,24,2021,15
30,문민빈,24,2021,2
31,박청규,23,2022,4
32,정채지,22,2023,7
33,심지호,25,2020,4
34,김세인,21,2024,7
35,조요서,21,2024,10
36,박희원,24,2021,1
37,홍현운,23,2022,5
38,박고연,25,2020,6
39,김면선,22,2023,8
40,윤나원,25,2020,13
41,류긴수,23,2022,10
42,하현영,23,2022,10
43,이성현,21,2024,12
44,강현은,25,2020,3
45,김연준,22,2023,2
46,오수아,23,2022,6
47,김우민,23,2022,13
48,장지나,21,2024,5
49,김균현,21,2024,15
50,이벼린,21,2024,10
51,양재규,24,2021,6
52,김유민,21,2024,10
53,김연현,22,2023,6
54,조현연,23,2022,8
55,김용인,24,2021,10
56,강저수,23,2022,2
57,서진원,23,2022,7
58,김다민,25,2020,7
59,안영우,22,2023,14
60,정보진,20,2025,7
61,장재희,23,2022,1
62,양재진,22,2023,4
63,최친호,21,2024,12
64,김서빈,22,2023,11
65,이민태,25,2020,9
66,이은진,23,2022,8
67,최성준,25,2020,15
68,최연현,24,2021,13
69,김승형,20,2025,7
70,신유은,21,2024,5
71,고숭후,25,2020,9
72,강다원,20,2025,2
73,이태훈,26,2019,12
74,김저재,21,2024,11
75,정성경,21,2024,10
76,이서안,26,2019,2
77,김민빈,24,2021,15
78,이다민,25,2020,7
79,김현인,26,2019,5
80,김소아,23,2022,8
81,이현조,26,2019,14
82,이지민,22,2023,5
