id,scored_name,scored
4,이용인,1
5,우소연,2
6,구동연,3
7,유하하,4
8,김도견,0
9,박주연,1
10,정준수,2
11,박지인,3
12,이창조,4
13,손유주,0
14,천승유,1
15,김채수,2
16,손진주,3
17,이규연,4
18,최상슨,0
19,백서현,1
20,이재근,2
21,김혜영,3
22,임사수,4
23,김서아,0
24,김전건,1
25,김예민,2
26,전병슨,3
27,지수흔,4
28,윤진긴,0
29,윤소현,1
30,김운민,2
31,정수현,3
32,김동규,4
33,이윤운,0
34,김장연,1
35,안규정,2
36,남재현,3
37,최수선,4
38,손종혹,0
39,최혜연,1
40,신해후,2
41,문소연,3
42,김선분,4
43,이수서,0
44,김성준,1
45,유혜겅,2
46,송준준,3
47,유소윤,4
48,구면수,0
49,김효아,1
50,김제연,2
51,박현나,3
52,이상현,4
53,이현경,0
54,이현운,1
55,박미은,2
56,김벙환,3
57,김혜한,4
58,김주유,0
59,김가인,1
60,최균대,2
61,조수희,3
62,김항호,4
63,김서은,0
64,이강인,1
65,김혜연,2
66,김태영,3
67,김혜인,4
68,서형천,0
69,안민은,1
70,김태연,2
71,김승안,3
72,김항준,4
73,송주현,0
74,강재호,1
75,박희연,2
76,차영현,3
77,곽이빈,4
78,임남환,0
79,김다민,1
80,박간번,2
81,김유주,3
82,박영현,4
83,지민원,0
84,이준웅,1
85,김지진,2
86,신문후,3
87,윤수윤,4
88,김재주,0
89,박세민,1
90,장형석,2
91,김이아,3
92,김면용,4
93,전연빈,0
94,노대호,1
95,하지영,2
96,최간빈,3
97,김새희,4
98,황정균,0
99,조민인,1
100,홍병호,2
101,성서연,3
102,양성한,4
103,허지희,0
104,김현진,1
105,박다경,2
106,박홍호,3
107,이민연,4
108,박준석,0
109,유수인,1
110,김영형,2
111,김다경,3
112,박재수,4
113,변은은,0
114,김형준,1
115,송유진,2
116,한성환,3
117,박다현,4
118,윤선낭,0
119,정민라,1
120,박승재,2
121,박소린,3
122,황완성,4
123,김소지,0
124,조동원,1
125,배미안,2
126,김준우,3
127,박아민,4
128,김재후,0
129,문주진,1
130,김성규,2
131,서예서,3
132,김태우,4
133,김현혜,0
134,오재원,1
135,엄소연,2
136,정지우,3
137,신시연,4
138,고문요,0
139,문현린,1
140,이동성,2
141,방소연,3
142,송은균,4
143,김다윤,0
144,이조숙,1
145,조하빈,2
146,황성권,3
147,신소민,4
148,김인슨,0
149,박시민,1
150,이겅원,2
151,우지영,3
152,함수현,4
153,이연서,0
154,서중희,1
155,이가경,2
156,이겅변,3
157,석수희,4
158,박요긴,0
159,이재린,1
160,임송운,2
161,이현연,3
162,김번조,4
163,김지연,0
164,이상석,1
165,이주원,2
166,정재환,3
167,이지은,4
168,이민민,0
169,정서희,1
170,서요규,2
171,노다경,3
172,황동진,4
173,유미시,0
174,고찬후,1
175,심희신,2
176,김성천,3
177,이하현,4
178,황준수,0
179,최지은,1
180,조저한,2
181,전주원,3
182,정재환,4
183,김이윤,0
184,설진민,1
185,이지윤,2
186,김종운,3
187,임지진,4
188,김민근,0
189,윤이은,1
190,문창지,2
191,신서영,3
192,강민찬,4
193,김다연,0
194,김천성,1
195,오도연,2
196,김도우,3
197,강서은,4
198,정성준,0
199,장가희,1
200,송영웅,2
201,유은은,3
202,심항훈,4
203,오예은,0
204,양시찬,1
205,김하지,2
206,조유식,3
207,황연서,4
208,신호환,0
209,장재은,1
210,신인재,2
211,서지진,3
212,이항로,4
213,정도예,0
214,하전후,1
215,유채나,2
216,조준민,3
217,윤수안,4
218,서현주,0
219,이유진,1
220,유덩성,2
221,김지선,3
222,김운성,4
223,김지영,0
224,김동진,1
225,권수연,2
226,하태은,3
227,노세현,4
228,박승민,0
229,김예신,1
230,최정준,2
231,송예연,3
232,이균기,4
233,남채원,0
234,김원현,1
235,유혜서,2
236,김태진,3
237,이민현,4
238,신형오,0
239,김다전,1
240,조진주,2
241,안서지,3
242,정동호,4
243,한수희,0
244,윤윤운,1
245,박소진,2
246,여형승,3
247,김지현,4
248,박전성,0
249,최주은,1
250,김상웅,2
251,고규저,3
252,김종호,4
253,박주지,0
254,이태현,1
255,이민원,2
256,박현후,3
257,김유은,4
258,최승희,0
259,최민효,1
260,채재헌,2
261,신지연,3
262,정경몬,4
263,김혜현,0
264,김윤형,1
265,권서진,2
266,채종연,3
267,황세수,4
268,이승호,0
269,이서하,1
270,황영후,2
271,김지아,3
272,신형운,4
273,이서현,0
274,최윤원,1
275,이태연,2
276,이승택,3
277,김윤현,4
278,신민거,0
279,지은린,1
280,정동호,2
281,박나연,3
282,송태욱,4
283,설희원,0
284,최광운,1
285,김가린,2
286,고준운,3
287,김소진,4
288,이관인,0
289,박윤린,1
290,김성현,2
291,김예연,3
292,김진상,4
293,고세흔,0
294,송승준,1
295,김서진,2
296,최우식,3
297,손유저,4
298,김성현,0
299,홍유연,1
300,신주환,2
301,김서윤,3
302,정경호,4
303,김현희,0
304,우창엉,1
305,고은예,2
306,주민재,3
307,최예희,4
308,강태연,0
309,염현경,1
310,김주희,2
311,한세원,3
312,현세기,4
313,김민연,0
314,진정찬,1
315,김현현,2
316,김제원,3
317,김서민,4
318,김현진,0
319,손지연,1
320,박진수,2
321,안세경,3
322,박면빈,4
323,권하진,0
324,오규주,1
325,정민연,2
326,김재운,3
327,송지은,4
328,강전준,0
329,김유희,1
330,서우현,2
331,홍예경,3
332,김재순,4
333,박민현,0
334,김준훈,1
335,신서연,2
336,백지긴,3
337,이유은,4
338,이세민,0
339,강서솔,1
340,송벙호,2
341,박채민,3
342,김유용,4
343,이현연,0
344,박민혁,1
345,송태련,2
346,전우현,3
347,천사린,4
348,주겅진,0
349,엄지소,1
350,강윤영,2
351,임하희,3
352,김조민,4
353,김하윤,0
354,김주훈,1
355,임주민,2
356,안원환,3
357,김연연,4
358,우수중,0
359,유채진,1
360,한성순,2
361,김하진,3
362,김민원,4
363,백민민,0
364,서성락,1
365,정보진,2
366,정현석,3
367,유나윤,4
368,조준누,0
369,구유윤,1
370,김태완,2
371,육성원,3
372,김지몬,4
373,장하민,0
374,고승재,1
375,김예린,2
376,이청인,3
377,신나현,4
378,박균사,0
379,김유연,1
380,채성현,2
381,김하한,3
382,박환현,4
383,정현빈,0
384,전민운,1
385,박지경,2
386,노진빈,3
387,차지원,4
388,윤기수,0
389,조희은,1
390,유오성,2
391,박수연,3
392,조형원,4
393,김미주,0
394,장정로,1
395,황민빈,2
396,이세재,3
397,전시원,4
398,김승빈,0
399,조슨연,1
400,조영한,2
401,강혜연,3
402,이영양,4
403,김소린,0
404,임대호,1
405,이서현,2
406,김청석,3
407,이슨현,4
408,박해수,0
409,김은서,1
410,이승민,2
411,신소민,3
412,조긍균,4
413,문나진,0
414,송창훈,1
415,이서이,2
416,김성연,3
417,강지연,4
418,이준유,0
419,황주린,1
420,김성영,2
421,맹서은,3
422,도민우,4
423,유민현,0
424,김채환,1
425,이초현,2
426,유상빈,3
427,김가은,4
428,장주현,0
429,김사현,1
430,이준민,2
431,전서서,3
432,이성균,4
433,김미현,0
434,이성진,1
435,옥세민,2
436,최정윤,3
437,최다향,4
438,김균우,0
439,이혜연,1
440,김승희,2
441,이다연,3
442,최진채,4
443,박혜윤,0
444,문승민,1
445,박세현,2
446,김경호,3
447,이저현,4
448,유정원,0
449,선현진,1
450,정민현,2
451,최민혜,3
452,장희긴,4
453,김지안,0
454,이진이,1
455,최주진,2
456,김덩주,3
457,이수진,4
458,손겅희,0
459,정저희,1
460,김준현,2
461,함아연,3
462,강승현,4
463,정주진,0
464,이성윤,1
465,한인은,2
466,김승석,3
467,강조전,4
468,주준필,0
469,황사아,1
470,김병찬,2
471,손저은,3
472,신종원,4
473,양정현,0
474,김창성,1
475,김보빈,2
476,이송운,3
477,손가진,4
478,임민준,0
479,노저민,1
480,김경범,2
481,문가연,3
482,김동건,4
483,최은현,0
484,이효청,1
485,이나저,2
486,강성운,3
487,이보은,4
488,최태윤,0
489,김미주,1
490,지진원,2
491,이윤희,3
492,최인민,4
493,김연민,0
494,이문한,1
495,문현연,2
496,노동현,3
497,조유서,4
498,김영현,0
499,유세민,1
500,조주진,2
501,양은은,3
502,신운연,4
503,임유희,0
504,김승남,1
505,고하은,2
506,황인진,3
507,정예라,4
508,김전진,0
509,이수연,1
510,함횽원,2
511,문승주,3
512,안종연,4
513,홍슨지,0
514,박승전,1
515,서호은,2
516,전기성,3
517,박저현,4
518,조정사,0
519,최수은,1
520,이승운,2
521,박희아,3
522,김진역,4
523,박유경,0
524,정남천,1
525,원유연,2
526,이민건,3
527,남미은,4
528,박윤현,0
529,심윤지,1
530,김수황,2
531,윤서현,3
532,송전진,4
533,노수안,0
534,노긴현,1
535,김수솔,2
536,우영환,3
537,손은민,4
538,최호훈,0
539,이희원,1
540,정승우,2
541,나아연,3
542,김관준,4
543,박은서,0
544,박진운,1
545,김보원,2
546,윤정재,3
547,박지윤,4
548,이진훈,0
549,김서연,1
550,김원호,2
551,박현솔,3
552,김희견,4
553,서유현,0
554,임성준,1
555,김희주,2
556,양재규,3
557,홍채은,4
558,김상구,0
559,양하희,1
560,박겅혹,2
561,김하서,3
562,조성상,4
563,오보서,0
564,장민규,1
565,이이서,2
566,오승환,3
567,윤소은,4
568,최홍수,0
569,윤연연,1
570,이홍환,2
571,김지연,3
572,김지앙,4
573,허저은,0
574,백현수,1
575,김하경,2
576,박원준,3
577,김혜현,4
578,이창배,0
579,이지우,1
580,이왕우,2
581,심예연,3
582,하도준,4
583,조예선,0
584,허민준,1
585,김아지,2
586,이연웅,3
587,최세윤,4
588,김승균,0
589,한세윤,1
590,최수현,2
591,진다신,3
592,김상호,4
593,안예서,0
594,김래훈,1
595,이혜민,2
596,유정녕,3
597,배수연,4
598,윤세영,0
599,정수영,1
600,신재운,2
601,연민은,3
602,김성숭,4
603,김연연,0
604,배중현,1
605,강윤주,2
606,이형견,3
607,최예현,4
608,김성현,0
609,정다은,1
610,이대신,2
611,이지지,3
612,변정유,4
613,윤은빈,0
614,김형현,1
615,김서린,2
616,오영역,3
617,유견재,4
618,이태하,0
619,윤수운,1
620,조대운,2
621,송지연,3
622,조현성,4
623,이다연,0
624,김진형,1
625,김은희,2
626,최민원,3
627,오소현,4
628,문희순,0
629,한수연,1
630,정둥원,2
631,김지재,3
632,이승연,4
633,조서진,0
634,김긴규,1
635,곽현은,2
636,구청응,3
637,정유진,4
638,최인현,0
639,윤오빈,1
640,김형철,2
641,김시서,3
642,최벙연,4
643,유승민,0
644,이경재,1
645,조유은,2
646,이주원,3
647,최유현,4
648,정병배,0
649,김가예,1
650,장시한,2
651,김민린,3
652,권정환,4
653,김희서,0
654,윤권주,1
655,윤현빈,2
656,전민현,3
657,강민나,4
658,서승우,0
659,서은은,1
660,송희성,2
661,나혜연,3
662,신겅훙,4
663,이서린,0
664,홍시천,1
665,김연연,2
666,이운준,3
667,유보원,4
668,최민민,0
669,조지원,1
670,황병인,2
671,오예민,3
672,김친연,4
673,조도원,0
674,김준우,1
675,강지민,2
676,박상호,3
677,박서윤,4
678,김원석,0
679,박희래,1
680,박잔근,2
681,이혜민,3
682,이조연,4
683,최지서,0
684,김성푱,1
685,임지혜,2
686,정형현,3
687,황서진,4
688,홍현운,0
689,임서린,1
690,박한운,2
691,정의우,3
692,안승형,4
693,도기주,0
694,김지연,1
695,유수현,2
696,현윤석,3
697,김서경,4
698,손준재,0
699,김유연,1
700,최성현,2
701,김지은,3
702,최장원,4
703,조유원,0
704,김지석,1
705,성지아,2
706,배주류,3
707,김채향,4
708,송성헉,0
709,박민진,1
710,최조웅,2
711,고예연,3
712,권창민,4
713,김서원,0
714,이남호,1
715,이서나,2
716,김홍우,3
717,강시은,4
718,박상숭,0
719,강혜라,1
720,김규연,2
721,윤서서,3
722,조병제,4
723,이소민,0
724,임동유,1
725,김은연,2
726,전주유,3
727,백지현,4
728,노진희,0
729,김지연,1
730,김수균,2
731,김서현,3
732,김주운,4
733,이혜서,0
734,백진규,1
735,허최지,2
736,김정운,3
737,남다빈,4
738,박찬성,0
739,이서경,1
740,김원형,2
741,최하운,3
742,김재현,4
743,이소희,0
744,이대성,1
745,최서라,2
746,정용윤,3
747,이채연,4
748,최재진,0
749,이서서,1
750,신광균,2
751,양수영,3
752,박제만,4
753,김지은,0
754,박원원,1
755,원다주,2
756,정준민,3
757,김나은,4
758,이대선,0
759,김유빈,1
760,이재현,2
761,이민희,3
762,김혜근,4
763,김세서,0
764,이광순,1
765,정혜원,2
766,송형삭,3
767,우지연,4
768,이순현,0
769,이유은,1
770,고태소,2
771,김예연,3
772,이준준,4
773,은지연,0
774,김홍성,1
775,최채지,2
776,김문준,3
777,배혜애,4
778,이현재,0
779,이새인,1
780,김두용,2
781,박세저,3
782,박남관,4
783,천다연,0
784,조원성,1
785,한예재,2
786,이준인,3
787,박현희,4
788,최벙완,0
789,문지연,1
790,김혜현,2
791,이다향,3
792,정낭운,4
793,장혜은,0
794,김형영,1
795,임다희,2
796,김민호,3
797,최새경,4
798,황경혁,0
799,허수현,1
800,조정원,2
801,김가진,3
802,남원순,4
803,전아경,0
804,우영현,1
805,이예수,2
806,김성혁,3
807,황지진,4
808,한성운,0
809,강승지,1
810,김지후,2
811,김세라,3
812,조승찬,4
813,김지민,0
814,유주긴,1
815,이희주,2
816,권효한,3
817,김세서,4
818,김긴환,0
819,이겨재,1
820,김우선,2
821,전무흔,3
822,유준혹,4
823,김주영,0
824,박이홍,1
825,오지혜,2
826,장유연,3
827,장이원,4
828,김전수,0
829,전연민,1
830,곽현주,2
831,김긍비,3
832,김동천,4
833,권저민,0
834,이현항,1
835,서유연,2
836,이원환,3
837,김유은,4
838,이산도,0
839,이유안,1
840,김재석,2
841,이지연,3
842,최기운,4
843,김지연,0
844,김동준,1
845,이지민,2
846,임태준,3
847,박현연,4
848,추민현,0
849,박저래,1
850,박인현,2
851,임혜민,3
852,김성훈,4
853,김소빈,0
854,이혜후,1
855,김채민,2
856,구동석,3
857,강연은,4
858,최춘긍,0
859,오서영,1
860,송찬진,2
861,이지은,3
862,김재빈,4
863,김민은,0
864,유동긴,1
865,이지효,2
866,이재신,3
867,이나영,4
868,임성호,0
869,김가연,1
870,최윤성,2
871,김태빈,3
872,정기진,4
873,조지선,0
874,이균민,1
875,강아연,2
876,임상태,3
877,류서희,4
878,한세준,0
879,김지채,1
880,조주연,2
881,김채은,3
882,고산현,4
883,김주현,0
884,이향현,1
885,신현연,2
886,전진준,3
887,민민라,4
888,김승긴,0
889,최현연,1
890,오승현,2
891,임주빈,3
892,고동호,4
893,임지형,0
894,송동규,1
895,김수빈,2
896,권횽래,3
897,이유은,4
898,박신연,0
899,김승은,1
900,김동우,2
901,엄수현,3
902,박도순,4
903,서세빈,0
904,서재긴,1
905,김혜민,2
906,최동재,3
907,신시서,4
908,김홍수,0
909,김수재,1
910,김홍원,2
911,이은지,3
912,이주호,4
913,조유연,0
914,황민로,1
915,윤수채,2
916,임재석,3
917,박호저,4
918,임연빈,0
919,김은나,1
920,이옹준,2
921,정채진,3
922,노태운,4
923,김유주,0
924,이영연,1
925,김도연,2
926,한창민,3
927,이민윤,4
928,김희현,0
929,유하원,1
930,박재긍,2
931,백지연,3
932,안현성,4
933,나민주,0
934,정승주,1
935,유수희,2
936,고현신,3
937,한차원,4
938,정윤원,0
939,최근린,1
940,김동현,2
941,노민아,3
942,이동걱,4
943,김소빈,0
944,서지빈,1
945,김예민,2
946,김연희,3
947,강소현,4
948,김정후,0
949,양주서,1
950,유정한,2
951,최지지,3
952,조원운,4
953,최하서,0
954,이종범,1
955,윤민인,2
956,김문순,3
957,박효진,4
958,임재규,0
959,김혜연,1
960,김도현,2
961,박다린,3
962,윤순번,4
963,김지현,0
964,박긴슨,1
965,윤소수,2
966,한벙빈,3
967,변재림,4
968,어효우,0
969,이여연,1
970,전과준,2
971,김혜연,3
972,문유슨,4
973,김소진,0
974,송상찬,1
975,박최은,2
976,김도언,3
977,김서영,4
978,이상규,0
979,현소현,1
980,이성슨,2
981,배혜영,3
982,유재환,4
983,조정주,0
984,이진민,1
985,남서린,2
986,이성성,3
987,조규원,4
988,이희호,0
989,안서진,1
990,권벙석,2
991,최지미,3
992,오성환,4
